TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
10	MsgGameStart		▢FF00FF00游戏开始，祝你好运。▥	▢FF00FF00Game Start, Good Luck.▥	▢FF00FF00O Jogo Começou, Boa Sorte.▥	▢FF00FF00O Jogo Começou	▢FF00FF00게임 시작, 굿 럭!▥	▢FF00FF00Start viel Glück.▥	▢FF0000FFLe jeu commence, bonne chance.	▢FF00FF00El juego comienza, te deseo buena suerte.	▢FF00FF00Il gioco inizia, ti auguro buona fortuna.	▢FF00FF00Mulai game, semoga anda beruntung.	▢FF00FF00เริ่มเกม▥	▢FF00FF00Bu oyun başlıyor, iyi şanslar.	▢FF00FF00Trò chơi bắt đầu, chúc bạn may mắn.	▢FF00FF00Game Start, Good Luck.▥
11	MsgReadyHint		▢FF00FF00游戏开始，你有▢FFFF0000%1s▢FF00FF00秒的时间去探索地图。▥	▢FF00FF00Game has started, you have ▢FFFF0000%1s▢FF00FF00 seconds to explore the map.▥	▢FF00FF00O Jogo Vai Começar, você tem ▢FFFF0000%1s▢FF00FF00 Segundos para explorar o mapa.▥	▢FF00FF00O Jogo Vai Começar	▢FF00FF00게임 시작, ▢FFFF0000%1s▢FF00FF00초로 지도 탐색 가능합니다.▥	▢FF00FF00Start. Sie haben ▢FFFF0000%1s▢FF00FF00 Sekunden, um die Karte zu entdecken.▥	▢FF0000FFLe jeu commence,vous avez ▢FFFF0000%1s▢FF0000FF secondes pour explorer la carte.	▢FF00FF00El juego comienza, tienes ▢FFFF0000%1s▢FF00FF00 segundos para explorar el mapa.	▢FF00FF00Il gioco inizia, hai ▢FFFF0000%1s▢FF00FF00 secondi per esplorare la mappa.	▢FF00FF00Mulai game, Anda memiliki waktu ▢FFFF0000%1s▢FF00FF00 detik untuk menjelajahi peta.	▢FF00FF00เกมเริ่ม คุณยังมี▢FFFF0000%1sวิไปค้นหาแผ่นที่▥	▢FF00FF00Oyun başlıyor, haritayı keşfetmek için ▢FFFF0000%1s▢FF00FF00 saniyeniz var.	▢FF00FF00Trò chơi bắt đầu, bạn có thời gian ▢FFFF0000%1s▢FF00FF00 để xem bản đồ.	▢FF00FF00Game has started, you have ▢FFFF0000%1s▢FF00FF00 seconds to explore the map.▥
12	MsgGameOverByLittle		▢FF00FFFF玩家人数不够，游戏结束。▥	▢FF00FFFFThe number of players is not enough, game over.▥	▢FF00FFFFO Número de jogadores não é suficiente, Fim de jogo.▥	▢FF00FFFFO Número de jogadores não é suficiente	▢FF00FFFF게이머 수가 부족합니다. 게임 오버.▥	▢FF00FFFFDie Anzahl der Spieler ist nicht genug. Game Over▥	▢FF0000FFLe nombre de joueurs n'est pas suffisant, le jeu est terminé.	▢FF00FFFFLa cantidad de jugadores no es suficiente, el juego ha terminado.	▢FF00FFFFIl numero di giocatori non è sufficiente, il gioco è finito.	▢FF00FFFFJumlah pemain tidak cukup, game over.	▢FF00FFFFจำนวนผู้เล่นไม่พอ▥	▢FF00FFFFOyuncu sayısı yeterli değil, oyun bitti.	▢FF00FFFFSố lượng người chơi không đủ, trò chơi kết thúc.	▢FF00FFFFThe number of players is not enough, game over.▥
13	MsgPlayerLeft		▢FF00FFFF还有▢FFFF0000%1s▢FF00FFFF个玩家。▥	▢FF00FFFFThere are ▢FFFF0000%1s▢FF00FFFF survivors left.▥	▢FF00FFFFTem ▢FFFF0000%1s▢FF00FFFF Sobreviventes.▥	▢FF00FFFFОсталось ▢FFFF0000%1s▢FF00FFFF игрок(а/ов) .▥	▢FF00FFFF게이머 ▢FFFF0000%1s▢FF00FFFF명 남아있습니다.▥	▢FF00FFFFNoch ▢FFFF0000%1s▢FF00FFFF Spieler.▥	▢FF0000FFIl y a encore ▢FFFF0000%1s▢FF0000FF joueurs.	▢FF00FFFFHay ▢FFFF0000%1s▢FF00FFFF jugadores.	▢FF00FFFFCi sono giocatori di ▢FFFF0000%1s.	▢FF00FFFFMasih ada ▢FFFF0000%1s▢FF00FFFF pemain.	▢FF00FFFFยังมีผู้เล่นเกม ▢FFFF0000%1s▢FF00FFFFคน▥	▢FFFF0000%1s▢FF00FFFF oyuncu var.	▢FF00FFFFVẫn còn ▢FFFF0000%1s▢FF00FFFF người chơi.	▢FF00FFFFThere are ▢FFFF0000%1s▢FF00FFFF survivors left.▥
14	MsgPlayerCount		▢FFFF0000%1s▢FF00FFFF个玩家进入了游戏。▥	▢FFFF0000%1s▢FF00FFFF players in game.▥	▢FFFF0000%1s▢FF00FFFFJogadores na partida.▥	▢FFFF0000%1s▢FF00FFFFигроков в игре.▥	▢FFFF0000게이머 %1s▢FFFFD700명 남아있습니다.▥	▢FFFF0000%1s▢FF00FFFF%1s▢FF00FFFFSpieler kommen.▥	▢FFFF0000%1s▢FF00FFFF joueurs sont entrés dans le jeu.	▢FFFF0000%1s▢FF00FFFF jugadores ingresaron al juego.	▢FFFF0000%1s giocatori sono entrati nel gioco.	▢FFFF0000%1s pemain memasuk kepada game.	▢FFFF0000%1s▢FF00FFFFคนเข้าเกมแล้ว▥	▢FFFF0000%1s▢FF00FFFF oyuncu oyuna girdi.	▢FFFF0000%1s▢FF00FFFF người chơi đã tham gia trò chơi.	▢FFFF0000%1s▢FF00FFFF players in game.▥
15	MsgPlayerQuit		%1s▢FF00FFFF退出了游戏。▥	%1s▢FF00FFFF quits the game.▥	%1s▢FF00FFFF Saíram do jogo.▥	▢FF00FFFFИгрок▢ %1s▢FF00FFFF покинул игру.▢	%1s▢FFFFD700 게임 떠났습니다.▥	%1s▢FF00FFFF das Spiel verlassen▥	%1s▢FF00FFFF joueurs ont quitté le jeu.	%1s▢FF00FFFF abandona el juego.	▢FFFF0000%1s▢FF00FF00 ha lasciato il gioco.	%1s▢FF00FFFF keluar dari game	%1s▢FF00FFFFออกจากเกมนี้▥	%1s▢FF00FFFF oyundan çıktı.	%1s▢FF00FFFF đã rời trò chơi.	%1s▢FF00FFFF quits the game.▥
16	MsgPlayerKillPlayer		%1s▢FF00FFFF被▢FFFFFFFF%2s▢FF00FFFF杀死了。▥	%1s▢FF00FFFF was slained by ▢FFFFFFFF%2s▢FF00FFFF.▥	%1s▢FF00FFFF Foi morto por ▢FFFFFFFF%2s▢FF00FFFF.▥	▢FF00FFFFИгрок▢ %1s▢FF00FFFF был убит игроком ▢FFFFFFFF%2s▢FF00FFFF.▥	%1s▢FFFFD700는 %2s에게 살해되었습니다.▥	%1s▢FF00FFFF wurde ▢FFFFFFFF%2s▢FF00FFFF getötet.▥	%1s▢FF00FFFF a été tué par ▢FFFFFFFF%2s.	%1s▢FF00FFFF fue asesinado por ▢FFFFFFFF%2s.	▢FFFF0000%1s▢FF00FF00 è stato ucciso ▢FFFF0000%2s.	%1s▢FF00FFFF dibunuh oleh ▢FF00FF00%2s .	%1s▢FF00FFFFถูก ▢FFFFFFFF%2s▢FF00FFFFฆ่า▥	%1s▢FF00FFFF, %2s▢FF00FFFF tarafından öldürüldü .	%1s▢FF00FFFF bị ▢FFFFFFFF%2s▢FF00FFFF tiêu diệt.	%1s▢FF00FFFF was slained by ▢FFFFFFFF%2s▢FF00FFFF.▥
17	MsgFirstKill		%1s▢FFFFD700完成了首杀。▥	%1s▢FFFFD700 gets the First Blood!▥	%1s▢FFFFD700 Obteve o Primeiro Sangue!▥	%1s▢FFFFD700 совершает первое убийство!▥	%1s▢FFFFD700는 첫 kill 했습니다.▥	%1s▢FFFFD700 first blood ▥	▢%1s▢FFFFD700 a tué la première victime.	%1s▢FFFFD700 ha completado el primer asesinato.	▢FFFF0000%1s▢FF00FF00 ha completato la prima uccisione.	%1s▢FFFFD700 menyelesaikan pembunuhan pertama.	%1s▢FFFFD700สำเร็จในการฆ่าครั้งแรก▥	%1s▢FFFFD700 ilk öldürmeyi tamamladı.	%1s▢FFFFD700 đã hoàn thành tiêu diệt lần đầu tiên.	%1s▢FFFFD700 gets the First Blood!▥
18	MsgDoubleKill		%1s▢FFFFD700完成了双杀。▥	%1s▢FFFFD700 gets a double kill!▥	%1s▢FFFFD700 Fez um Duplo assassinato!▥	%1s▢FFFFD700 совершает двойное убийство!▥	%1s▢FFFFD700는 더블 kill 했습니다.▥	%1s▢FFFFD700 double kill▥	%1s▢FFFFD700 a fait un double massacre.	%1s▢FFFFD700 ha completado doble muerte.	▢FFFF0000%1s▢FF00FF00 ha completato il doppio kill.	%1s▢FFFFD700 menyelesaikan membunuh ganda	%1s▢FFFFD700สำเร็จในการฆ่าคู่▥	%1s▢FFFFD700 çift öldürmeyi tamamladı.	%1s▢FFFFD700 đã hoàn thành tiêu diệt lần hai。	%1s▢FFFFD700 gets a double kill!▥
19	MsgThirdKill		%1s▢FFFFD700已经超神了。▥	%1s▢FFFFD700 is god like!▥	%1s▢FFFFD700 Ninguém segura ele!▥	%1s▢FFFFD700 бог войны!▥	%1s▢FFFFD700 대박입니다.▥	%1s▢FFFFD700 legendary▥	%1s▢FFFFD700 a acquis un  super pouvoir.	%1s▢FFFFD700 ha sido super-dios.	▢FFFF0000%1s▢FF00FF00 è stato super-dio.	%1s▢FFFFD700 telah menjadi Super God.	%1s▢FFFFD700 เป็น super-god▥	%1s▢FFFFD700 süper-tanrı olmuştur.	%1s▢FFFFD700 đã như thần rồi.	%1s▢FFFFD700 is god like!▥
20	MsgFiveKill		%1s▢FFFFD700已经无人可挡了。▥	%1s▢FFFFD700 is unstoppable!▥	%1s▢FFFFD700 Ele É Imparável!!▥	▢FFFFD700игрока▢ %1s▢FFFFD700 не остановить!▥	%1s▢FFFFD700는 이미 막을 수가 없습니다.▥	%1s▢FFFFD700 unstoppable▥	▢FF0000FFAucune personne ne peut arrêter ▢FFFF0000%1s▢FF00FF00.	%1s▢FFFFD700 ha sido imparable.	▢FFFF0000%1s▢FF00FF00 è stato inarrestabile.	%1s▢FFFFD700 sudah tidak ada yang bisa menghalangi	▢FFFFD700ไม่มีใครสามารถขวง %1sได้อีก▥	%1s▢FFFFD700 durdurulamaz olmuştur.	%1s▢FFFFD700 đã trờ thành không ai địch nỗi.	%1s▢FFFFD700 is unstoppable!▥
21	MsgFightGameStart		▢FF00FFFF最后的决斗开始了，战斗到最后的将是胜者。▥	▢FF00FFFFDeath match has started, fight for the last winner!▥	▢FF00FFFFA partida da morte começou, lute! o último vivo será o vencedor!▥	▢FF00FFFFA partida da morte começou	▢FF00FFFF최후의 결투는 시작합니다. 마지막 생존자는 최후의 우승자입니다.▥	▢FF00FFFFDas finale Duell beginnt.Das Finale wird der Gewinner sein.▥	▢FF00FFFFLa bataille finale commence, celui qui se bat jusqu'à la fin sera le vainqueur.	▢FF00FFFFEl duelo final comienza, y el que lucha hasta la batalla final será el ganador.	▢FF00FFFFIl duello finale inizia e la battaglia finale sarà il vincitore.	▢FF00FFFFDuel terakhir sudah mulai, yang pertarungan sampai akhir akan menjadi pemenangnya.	▢FF00FFFFการต่อสู้ครั้งสุดท้ายจะเริ่มแล้ว และใครสามารถต่อสู้จนถึงตอนสุดท้ายจะเป็นผู้ชนะ▥	▢FF00FFFFSon düello başlıyor, sonuna kadar mücadele eden kazanır.	▢FF00FFFFTrận quyết đấu cuối cùng đã bắt đầu, chiến đấu đến cuối cùng sẽ là kẻ chiến thắng.	▢FF00FFFFDeath match has started, fight for the last winner!▥
22	MsgWinnerInfo		▢FFFFD700恭喜！▢FFFFFFFF%1s▢FFFFD700战斗到最后，成为这场战斗的胜利者。▥	▢FFFFD700Congratulation! ▢FFFFFFFF%1s▢FFFFD700 is the winner who was the last suvival!▥	▢FFFFD700Parabéns! ▢FFFFFFFF%1s▢FFFFD700 Você é o vencedor, Foi o Ultimo sobrevivente!▥	 Foi o Ultimo sobrevivente!▥	▢FFFFD700축하합니다!▢FFFFFFFF%1s▢FFFFD700는 끝까지 버티고 최후의 우승자가 됩니다.▥	▢FFFFD700Herzlichen Glückwunsch.▢FFFFFFFF%1s▢FFFFD700 Kämpfe bis zum Ende.▢FFFFFFFF%1s▢FFFFD700 ist der Gewinner ▥	▢FF0000FFFélicitations! ▢FFFF0000%1s▢FF0000FF s'est battu jusqu'à la fin, il devient le vainqueur de cette bataille.	▢FFFFD700Felicidades !▢FFFFFFFF%1s▢FFFFD700 lucha hasta el final y se convierte en el ganador de esta batalla.	▢FFFFD700Complimenti! ▢FFFFFFFF%1s▢FFFFD700 Combatti fino alla fine per diventare il vincitore di questa battaglia.	▢FFFFD700Selamat! ▢FFFFFFFF%1s▢FFFFD700 Pertarungan sampai akhir, berhasil menjadi pemenang dalam pertempuran ini.	▢FFFFD700ขอแสดงความยินดีกับ %1s ต่อสู้ถึงตอนสุดท้าย และเป็นผู้ชนะในการต่อสู้ครั้งนี้▥	▢FFFFD700Tebrikler! ▢FFFFFFFF%1s▢FFFFD700 Bu savaşın sonuna kadar mücadele et, savaşın galibi ol.	▢FFFFD700Xin chúc mừng！▢FFFFFFFF%1s▢FFFFD700 đã chiến đấu đến cuối cùng, trở thành kẻ chiến thắng trận chiến này.	▢FFFFD700Congratulation! ▢FFFFFFFF%1s▢FFFFD700 is the winner who was the last suvival!▥
23	MsgGameOver		▢FFFF0000游戏结束。▥	▢FFFF0000Game Over.▥	▢FFFF0000Fim de Jogo.▥	▢FFFF0000Игра окончена.▥	▢FFFF0000게임 오버.▥	▢FFFF0000Game Over▥	▢FFFF0000Le jeu est terminé.	▢FFFF0000El juego ha terminado.	▢FFFF0000Il gioco è finito.	▢FFFF0000Game over.	▢FFFF0000เกมจบ ▥	▢FFFF0000Oyun bitti.	▢FFFF0000Trò chơi kết thúc.	▢FFFF0000Game Over.▥
24	MsgGameOverWin		▢FFFFD700游戏结束，你胜利了。▥	▢FFFFD700Game Over. You are the winner.▥	▢FFFFD700Fim de jogo. Você é o vencedor.▥	▢FFFFD700Игра окончена. Вы победили! ▥	▢FFFFD700게임 오버, 당신은 승리했습니다.▥	▢FFFFD700Game Over. Sie winnen.▥	▢FFFFD700Le jeu est terminé, vous avez gagné.	▢FFFFD700El juego terminó, tú has ganado.	▢FFFFD700Il gioco è finito e tu vinci.	▢FFFFD700Game over, anda menang.	▢FFFFD700เกมจบ คุณชนะ ▥	▢FFFFD700Oyun bitti ve sen kazandın.	▢FFFFD700Trò chơi kết thúc, bạn thắng rồi.	▢FFFFD700Game Over. You are the winner.▥
25	MsgGameOverDeath		▢FFFF0000游戏结束，你已经死亡了。▥	▢FFFF0000Game Over. You have lost.▥	▢FFFF0000Fim de Jogo. Você Perdeu.▥	▢FFFF0000Игра окончена. Вы проиграли! ▥	▢FFFF0000게임 오버, 당신은 죽었습니다.▥	▢FFFF0000Game Over. Sie sind tot.▥	▢FFFF0000Le jeu est terminé, vous êtes mort.	▢FFFFD700El juego terminó, estás muerto.	▢FFFF0000Il gioco è finito, sei morto.	▢FFFF0000Game over, anda sudah mati.	▢FFFF0000เกมจบ คุณแพ้▥	▢FFFF0000Oyun bitti, sen kaybettin.	▢FFFF0000Trò chơi kết thúc, bạn đã chết.	▢FFFF0000Game Over. You have lost.▥
26	MsgNoWinPlayer		▢FFFFD700不止一个玩家生存下来，这场比赛没有胜利者。▥	▢FFFFD700More than one player survives, so there is no winner in this round, good luck next time!▥	▢FFFFD700Mais de um jogador sobreviveu, então não há nenhum vencedor nesta Partida, Mas sorte da próxima vez!▥	 good luck next time!▥	▢FFFFD700한 플레이어만이 살아남는 것은 아니여서 본 경기에는 우승자가 없습니다.▥	▢FFFFD700Mehr als ein Spieler hat überlebt, es gab keinen Gewinner im Spiel.▥	▢FFFFD700Plus d'un joueur ont survécu, aucun vainqueur pour cette bataille.	▢FFFFD700Más de un jugador sobrevivió, no hubo ganador en el juego.	▢FFFFD700Più di un giocatore è sopravvissuto, non c'era nessun vincitore nel gioco.	▢FFFFD700Bukan satu saja pemain yang berhasil menahankan nyawa, pertarungan ini tidak ada pemenang.	▢FFFFD700ผู้เล่นมากกว่าหนึ่งคนรอดชีวิตไม่มีผู้ชนะในเกม ▥	▢FFFFD700Birden fazla oyuncu hayatta kaldı, oyunda kazanan olmadı.	▢FFFFD700Không chỉ một người chơi sống sót. Trận đấu này không có người chiến thắng.	▢FFFFD700More than one player survives, so there is no winner in this round, good luck next time!▥
27	MsgNoWinTeam		▢FFFFD700不止一个队伍生存下来，这场比赛没有胜利者，祝你下一次取得胜利！▥	▢FFFFD700More than one team survive, no winner in this round, good luck next time!▥	▢FFFFD700Mas De Uma Equipe Sobreviveu a esta partida, Mas Sorte da próxima vez!▥	 good luck next time!▥	▢FFFFD700한 팀만이 살아남는 것은 아니여서 본 경기에는 우승자가 없습니다.다음 번에 승리를 기원합니다!▥	▢FFFFD700Mehr als ein Team hat überlebt, es gibt keinen Gewinner im Spiel, wünsche Ihnen den nächsten Sieg!▥	▢FFFFD700Plus d'une équipe ont survécu, aucun vainqueur pour cette bataille, bonne chance pour la prochaine fois!	▢FFFFD700Más de un equipo sobrevivió, no hay ganador en este juego, ¡te deseo la próxima victoria!	▢FFFFD700Più di una squadra è sopravvissuta, non c'è nessun vincitore in questo gioco, ti auguro la prossima vittoria!	▢FFFFD700Bukan satu saja tim yang berhasil menahankan nyawa, pertarungan ini tidak ada pemenang, semoga Anda berhasil di akan datang.	▢FFFFD700มากกว่าหนึ่งทีมรอดชีวิตไม่มีผู้ชนะในเกมนี้ฉันขอให้คุณชัยชนะในรอบต่อไป ▥	▢FFFFD700Birden fazla takım hayatta kaldı, bu oyunda kazanan yok, size bir sonraki zaman zafer diliyorum!	▢FFFFD700Không chỉ một người chơi sống sót. Trận đấu này không có người chiến thắng. Chúc bạn giành chiến thắng trận tiếp theo.	▢FFFFD700More than one team survive, no winner in this round, good luck next time!▥
28	MsgGameOverHint		▢FF00FFFF你将会在▢FFFF0000%1s秒▢FF00FFFF内被传送回重生点。▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFท่านจะถูกส่งกลับไปที่จุดเริ่มต้นใหม่ภายใน ▢FFFF0000%1s▢FF00FFFFวิ ▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥	▢FF00FFFFTeleport to Spawn Point In▢FFFF0000 %1s seconds▢FF00FFFF.▥
29	MsgGameResetFinish		▢FF00FFFF地图重置完毕。▥	▢FF00FFFFFinished reseting the map.▥	▢FF00FFFFO Mapa Foi Restaurado.▥	▢FF00FFFFЗавершён процесс сброса карты!▥	▢FF00FFFF지도 최기화 완료▥	▢FF00FFFFDie Karte hat schon zurückgesetzt.▥	▢FF00FFFFLa réinitialisation de la carte est terminée.	▢FF00FFFFEl mapa se reinicia.	▢FF00FFFFLa mappa viene ripristinata.	▢FF00FFFFPeta di reset.	▢FF00FFFFแผนที่ถูกรีเซ็ตแล้ว ▥	▢FF00FFFFHarita sıfırlandı.	▢FF00FFFFThiết lập lại bản đồ đã hoàn tất.	▢FF00FFFFFinished reseting the map.▥
